title,desc,items_needed
"""Natural Born Killer""","""Defeat enemies in this Realm to ensure the safety of "" + global.castlename + ""'s people.""","""Enemies Killed"""
"""Need a Penny, Take a Penny""","""Collect coins in this Realm to bolster "" + global.castlename + ""'s economy.""","""Coins Collected"""
"""The Robes Off Their Backs""","""Collect robes in this Realm to clothe "" + global.castlename + ""'s apprentice magi.""","""Robes Collected"""
"""Pelted With Gifts""","""Collect pelts in this Realm to clothe "" + global.castlename + ""'s citizens.""","""Pelts Collected"""
"""Call to Arms""","""Recruit knights from this Realm to guard "" + global.castlename + "".""","""Knights Recruited"""
"""Citizens of a Growing Empire""","""Recruit citizens from this Realm to populate "" + global.castlename + "".""","""Citizens Recruited"""
"""Quality Construction""","""Collect building materials in this Realm to expand "" + global.castlename + "".""","""Materials Collected"""
"""Armaments for War""","""Collect weapons and armor in this Realm to equip "" + global.castlename + ""'s knights.""","""Weapons/Armor Collected"""
"""Conquest for Cores""","""Collect wayward Cores in this Realm to give "" + global.castlename + ""'s magi access to new creatures.""","""Wayward Cores Collected"""
"""Ancient Studies""","""Study inscribed slates to expand "" + global.castlename + ""'s library.""","""Slates Studied"""
"""Light the Darkness""","""Light the Piety Candle in this Realm to appease "" + scr_GodName(scr_BiomeGod(global.biome), true) + "".""",""""""
"""A Favor For No One In Particular""","""Light the campfires in this Realm to highlight landmarks for other travelers.""","""Campfires Lit"""
"""Digging For Treasure Buried""","""Find a treasure map in this Realm and use it to uncover buried treasure.""","""Treasure Discovered"""
"""Nortah's Burden""","""Subdue "" + global.castlename + ""'s runaway creatures in this Realm.""","""Creatures Subdued"""
"""Twinkling Titanite""","""Find chunks of deified essence in this Realm.""","""Essences Found"""
"""Awaken, Abomination""","""Collect components from this Realm to summon a powerful enemy.""","""Components Collected"""
"""Nether Guardians""","""Defeat the Nether Guardians in this realm to summon a Nether Boss.""","""Guardians Defeated"""
"""Generic Fetch Quest Breakables""","""Find "" + item + "" inside breakable objects in this Realm.""","item + "" Found"""
"""Generic Fetch Quest Enemies""","""Find "" + item + "" in this Realm by defeating enemy creatures.""","item + "" Found"""
"""Lost, But Not Forgotten""","""Find and rescue "" + global.castlename + "" citizen "" + name + "".""","name + "" Rescued"""
"""The Defiled Trove""","""Cleanse the cursed treasure chest in this Realm.""","""Chest Cleansed"""
"""Forgotten Tomes""","""Obtain intact tomes from the bookshelves in this Realm to bolster "" + global.castlename + ""'s library.""","""Tomes Found"""
"""Stocking Up""","""Obtain potions from this Realm to bolster "" + global.castlename + ""'s emergency stockpile.""","""Potions Found"""
"""Simple Recon""","""Find telescopes in this Realm to aid "" + global.castlename + ""'s scouts in their missions.""","""Telescopes Found"""
"""The Pot Lid""","""Find artifact fragments in this Realm to create a new Artifact.""","""Fragments Found"""
"""A Shattered Soul""","""Find gem fragments in this Realm to create a new Spell Gem.""","""Fragments Found"""
"""A Bit of This, A Bit of That""","""Conduct experiments using the alchemy stations scattered around this Realm.""","""Experiments Completed"""
"""Covering Your Tracks""","""Snuff out the campfires in this Realm.""","""Campfires Snuffed"""
"""Ensuring Survival""","""Collect firewood and give them to the explorers that live in igloos in this Realm.""","""Firewood Donated"""
"""In Loving Memory""","""Pay your respects to fallen "" + global.castlename + "" knights and magi in this Realm.""","""Graves Visited"""
"""Gifts For Azural""","""Collect Ice Diamonds in this Realm to appease Azural, God of Frost.","""Ice Diamonds"""
"""Crystal Mining""","""Collect Crystal nodes found in this Realm to bolster "" + global.castlename + ""'s economy.""","""Crystal Found"""
"""Experimental Harvest""","""Pick the berries in this Realm to help "" + global.castlename + ""'s researchers learn more about this environment.""","""Berries Picked"""
"""Green is Good""","""Pick the large green mushrooms in this Realm to help "" + global.castlename + ""'s researchers learn more about this environment.""","""Mushrooms Picked"""
"""Spectrum Sampler""","""Pick the small, colorful mushrooms in this Realm to help "" + global.castlename + ""'s researchers learn more about this environment.""","""Mushrooms Picked"""
"""Natural Botanist""","""Collect Hyacinths in this Realm to help "" + global.castlename + ""'s researchers learn more about this environment.""","""Hyacinths"""
"""Unexpected Carnivores""","""Destroy the man-eating flytraps in this Realm to protect humanity.""","""Flytraps Destroyed"""
"""Vile Plumes""","""Destroy the poisonous spore plumes in this Realm to protect humanity.""","""Spore Plumes Destroyed"""
"""Purifying the Temple""","""Find a corrupted temple in this Realm and destroy its master.""","""Temple Cleansed"""
"""Natural Cleansing""","""Find and cleanse the cursed obelisks in this Realm.""","""Obelisks Cleansed"""
"""Finders Keepers""","""Find piles of treasure to bolster "" + global.castlename + ""'s economy.""","""Treasure Found"""
"""Gift For Aeolian""","""Find and collect a golden feather to appease Aeolian, God of Wind.","""Golden Feather"""
"""Restoring Balance""","""Find and cleanse the corrupted totems in this Realm.""","""Totems Cleansed"""
"""Quenching Curiosity""","""Find sources of water in this Realm to aid "" + global.castlename + ""'s explorers.""","""Water Sources"""
"""Peace Offering""","""Collect logs and give them to the explorers that live in tents in this Realm.""","""Supplies Donated"""
"""A Source of Power""","""Search the piles of gems in this Realm to find the shiniest one.""","""Shiny Gem Found"""
"""Savior of the Defenseless""","""Break innocent creatures out of the cages in this Realm.""","""Creatures Freed"""
"""Eternal Entrapment""","""Free the spirits trapped within torture devices found in this Realm.""","""Spirits Freed"""
"""Jailbreak""","""Open the iron maidens found in this Realm and defeat the enemies contained within them.""","""Enemies Defeated"""
"""Unscrupulous Scribbles""","""Find and study the parchments scattered around this Realm.""","""Parchment Studied"""
"""Granite Sweep""","""Collect Granite nodes found in this Realm to bolster "" + global.castlename + ""'s economy.""","""Granite Found"""
"""Death and Decay""","""Pick the mushrooms in this Realm to help "" + global.castlename + ""'s researchers learn more about this environment.""","""Mushrooms Picked"""
"""Lost, and Probably Forgotten""","""Pay your respects to fallen "" + global.castlename + "" knights and magi in this Realm.""","""Graves Visited"""
"""Gifts For Erebyss""","""Find and collect kisses of death to appease Erebyss, Goddess of Darkness.","""Kisses of Death"""
"""The Bone Collector""","""Find and collect skull piles to appease Erebyss, Goddess of Darkness.","""Skull Piles"""
"""Learn By Example""","""Collect creature skulls from this Realm to help teach your creatures the meaning of death.""","""Skulls Collected"""
"""Avatars of Spite""","""Destroy the demonic statues in this Realm.""","""Statues Destroyed"""
"""Greatest Greed""","""Collect resource nodes found in this Realm to bolster "" + global.castlename + ""'s economy.""","""Resource Nodes Found"""
"""Luck of the Draw""","""Collect Pandemonium Tokens in this Realm.""","""Tokens Found"""
"""Slave to the Grind""","""Mine the stones found in this Realm to bolster "" + global.castlename + ""'s economy.""","""Resources Mined"""
"""Deviled Eggs""","""Steal eggs from the devil nests in this Realm to appease Vulcanar, God of Fire.","""Devil Eggs"""
"""Fallen Stars""","""Wish upon the stars in this Realm.""","""Wishes"""
"""Gifts For Surathli""","""Collect fruit of life in this Realm to appease Surathli, Goddess of Light.","""Fruit of Life"""
"""To End the Rapture""","""Find and cleanse the corrupted obelisks in this Realm.""","""Obelisks Cleansed"""
"""Gathering the Essentials""","""Collect Essence nodes found in this Realm to bolster "" + global.castlename + ""'s economy.""","""Essence Found"""
"""True Self""","""Find and activate a mirrorball in this Realm to face your inner evil.""","""Mirrorball"""
"""Test of Righteousness""","""Find a holy portal in this Realm and destroy its master.""","""Portal Cleansed"""
"""Conch Shell Peddling""","""Collect conch shells in this Realm to bolster "" + global.castlename + ""'s economy.""","""Shells Found"""
"""Spiral Shell Peddling""","""Collect spiral shells in this Realm to bolster "" + global.castlename + ""'s economy.""","""Shells Found"""
"""Don't Drop Them""","""Find doubloons in this Realm to bolster "" + global.castlename + ""'s economy.""","""Doubloons Found"""
"""Walking Where the Dead Ships Dwell""","""Investigate shipwrecks in this Realm.""","""Shipwrecks Investigated"""
"""Eyes Wide Shut""","""Find and examine mysterious masks in this Realm.""","""Masks Found"""
"""Friden's Bounty""","""Find a golden key and use it to unlock a giant treasure chest in this Realm.""","""Chest Opened"""
"""Celestial Equilibrium""","""Find the moon, sun, and arcane spheres in this Realm.""","""Spheres Found"""
"""Not Even Stars Last Forever""","""Find lunar stars in this Realm.""","""Stars Found"""
"""My Lucky Meteor""","""Find fallen meteors in this Realm.""","""Meteors Found"""
"""Battle of Eternity's End""","""Find a corrupted rift in this Realm and destroy its master.""","""Rift Cleansed"""
"""Fuel to the Fire""","""Settle the dispute between the tiki tribes in this Realm.""","""Dispute Settled"""
"""Fury and Brimstone""","""Collect Brimstone nodes found in this Realm to bolster "" + global.castlename + ""'s economy.""","""Brimstone Collected"""
"""Savor Each Bite""","""Collect ripe fruit in this Realm to feed "" + global.castlename + ""'s citizens.""","""Fruit Collected"""
"""Anger Personified""","""Find and defeat the angry spirits trapped within the totems of this Realm.""","""Totems Cleansed"""
"""Running an Endless Mile""","""Settle the dispute between the tiki tribes in this Realm.""","""Dispute Settled"""
"""Sea Glass For All""","""Collect Crystal nodes found in this Realm to bolster "" + global.castlename + ""'s economy.""","""Crystal Collected"""
"""From Another Universe""","""Collect sea pineapples in this Realm to bolster "" + global.castlename + ""'s economy.""","""Pineapples Found"""
"""Cast Away""","""Investigate shipwrecks in this Realm.""","""Shipwrecks Investigated"""
"""Bad Juju""","""Make an offering to this Realm's temples to gain a better understanding of this environment.""","""Temples Visited"""
"""Gift of the Ancients""","""Collect sacred relics in this Realm to appease Yseros, Goddess of Illusion.","""Sacred Relics"""
"""Miracle of the Mind""","""Investigate oases in this Realm.""","""Oases Examined"""
"""A Surprising Find""","""Collect desert flowers in this Realm.""","""Desert Flowers"""
"""A Peace Offering""","""Collect wood and give it to the explorers that live in tents in this Realm.""","""Wood Donated"""
"""Wormhole""","""Find a quicksand portal in this Realm and destroy its master.""","""Portal Cleansed"""
"""End of Innocence""","""Collect baby spiderlings in this Realm to appease Regalis, Goddess of Poison.","""Spiderlings"""
"""Uncertain Aid""","""Rescue the prey that is trapped in spider webs in this Realm.""","""Prey Rescued"""
"""Gifts For Regalis""","""Collect spider eggs in this Realm to appease Regalis, Goddess of Poison.","""Spider Eggs"""
"""Precious Resources""","""Collect Essence nodes found in this Realm to bolster "" + global.castlename + ""'s economy.""","""Essence Collected"""
"""Autopsy Time""","""Examine web-encased skulls in this Realm.""","""Skulls Examined"""
"""Throw Down the Gauntlet""","""Slay hostile knights in this Realm.""","""Knights Slain"""
"""Studies of Days Gone By""","""Obtain intact tomes from the bookshelves in this Realm to bolster "" + global.castlename + ""'s library.""","""Tomes Found"""
"""Preparation""","""Obtain medicinal potions from this Realm to bolster "" + global.castlename + ""'s emergency stockpile.""","""Potions Found"""
